CompanyName,DateApplied,DateRejected,Interview,JobOffer,JobTitle
Planned Parenthood,2022-12-30,2023-03-17,1,0,Data Analyst
Whatnot,2023-01-31,NULL,0,0,Partnerships Associate
The Trevor Proj,2023-01-31,NULL,0,0,Data Analyst
Aldi,2023-02-01,NULL,0,0,Data Analyst
Elevance Health,2023-02-01,NULL,0,0,Business Info Consultants
GM,2023-02-02,NULL,0,0,Billing ANalyst
Cogeco,2023-02-02,NULL,0,0,Workforce Specialist- Remote
Cogeco,2023-02-02,NULL,0,0,Workforce Specialist- Remote
Signify Health,2023-02-03,NULL,0,0,NULL
Cigna,2023-02-03,NULL,0,0,Data Analyst
Cigna,2023-02-03,NULL,0,0,Data Analyst
Magellan Health,2023-04-16,NULL,0,0,NULL
Caresource,2023-04-16,2023-06-06,0,0,NULL
CVS,2023-04-17,2023-05-13,0,0,Data Analyst
Maximus,2023-04-24,2023-19-05,0,0,Associate IT Analyst
pulseData,2023-04-24,NULL,0,0,Data Analyst
Oscar,2023-04-24,2023-06-29,0,0,NULL
LTK,2023-04-26,NULL,0,0,Data Analyst
Nationwide CH,2023-04-26,2023-06-28,0,0,Data Analyst
State of OH,2023-04-27,NULL,0,0,NULL
Cohere Health,2023-04-27,2023-05-05,0,0,NULL
Encova,2023-04-27,2023-06-15,0,0,Data Analyst
Honest Medical Group,2023-04-27,NULL,0,0,NULL
Live Nation,2023-04-28,NULL,0,0,Data Analyst
Sun Life,2023-04-28,NULL,0,0,Data Analyst
Mercy Health,2023-04-28,2023-06-20,0,0,NULL
Oscar,2023-04-29,2023-06-29,0,0,NULL
Bread Financial,2023-04-29,NULL,0,0,NULL
Ford,2023-05-05,NULL,0,0,NULL
Maximus,2023-05-05,2023-19-05,0,0,Associate IT Analyst
Key Bank,2023-05-05,2023-05-14,0,0,Data Analyst
Nationwide CH,2023-05-12,2023-06-28,0,0,Data Analyst
Village Care,2023-05-12,NULL,0,0,Data Analyst
City of Columbus,2023-05-12,NULL,0,0,NULL
M3USA,2023-05-18,2023-06-08,0,0,Data Analytics Intern
LTK,2023-05-18,NULL,0,0,Data Analyst
Crossover,2023-05-18,NULL,0,0,Data Analyst
Elevance Health,2023-05-18,2023-05-18,0,0,NULL
GEHA,2023-05-18,2023-05-25,0,0,Assoc Data Scientist
Lucet,2023-05-18,2023-06-02,0,0,Data Analyst
Elevance Health,2023-05-18,NULL,0,0,NULL
Ascension,2023-05-22,NULL,0,0,Data Analyst
Vatica Health,2023-05-22,2023-06-28,1,0,Healthcare Data Analyst
Privia Health,2023-05-22,NULL,0,0,NULL
TIP Program,2023-05-22,NULL,0,0,NULL
Modernizing Medicine,2023-05-22,NULL,0,0,NULL
Storable,2023-05-22,NULL,0,0,NULL
Healthcare Systems,2023-05-22,NULL,0,0,NULL
angi,2023-05-22,NULL,0,0,NULL
National Interstate,2023-05-22,NULL,0,0,NULL
Pfizer,2023-05-22,NULL,0,0,NULL
Micro Center,2023-06-06,NULL,0,0,NULL
Citizens Bank,2023-06-06,NULL,0,0,Data Analyst
Nesco,2023-06-06,NULL,0,0,NULL
KIPP,2023-06-06,NULL,0,0,Data Analyst
OhioHealth,2023-06-06,NULL,0,0,NULL
Post Acute Analytics,2023-06-08,NULL,0,0,NULL
Veeva,2023-06-14,NULL,0,0,NULL
ADAMHS,2023-06-15,NULL,0,0,NULL
CVS,2023-06-15,NULL,0,0,Data Analyst
Privia Health,2023-06-15,NULL,0,0,NULL
OhioHealth,2023-06-15,NULL,0,0,NULL
Cardinal Health,2023-06-15,NULL,0,0,Data Analyst
Cardinal Health,2023-06-15,NULL,0,0,Data Analyst
Cardinal Health,2023-06-15,NULL,0,0,Data Analyst
State of OH,2023-06-15,NULL,0,0,NULL
Cogeco,2023-06-15,NULL,0,0,NULL
Cogeco,2023-06-15,NULL,0,0,NULL
Cogeco,2023-06-15,NULL,0,0,NULL
Phoenix CH,2023-06-15,NULL,0,0,Data Analyst
OCLC,2023-06-16,NULL,0,0,Data Analyst
Veeva,2023-06-24,NULL,0,0,NULL
OSU,2023-06-29,NULL,0,0,Data Analyst
Elevance Health,2023-07-02,NULL,0,0,NULL
CITI,2023-07-02,NULL,0,0,NULL
L Brands,2023-07-02,NULL,0,0,NULL
